species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Abrostolatripartita,Lepidoptera,47,70.15,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Abrostolatripartita,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",58,86.57,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Acanthasterplanci,Eleutherozoa,29,67.44,"Mir-190, Mir-216, Mir-281, Mir-315",39,90.7,"Mir-2002, Mir-2004, Mir-2005, Mir-2006, Mir-2007, Mir-2009, Mir-2010, Mir-2011, Mir-2012, Mir-22"
Acanthopagruslatus,Clupeocephala,99,86.84,"Mir-1329, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-76, Mir-875",105,92.11,"Mir-147, Mir-2001, Mir-32, Mir-71, Mir-7132, Mir-729"
Accipitergentilis,Neognathae,106,82.81,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",113,88.28,"Mir-1416, Mir-1467, Mir-1720, Mir-1781, Mir-1805, Mir-2984, Mir-727"
Acentriaephemerella,Lepidoptera,49,73.13,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-970, Mir-988"
Acentriaephemerella,Lepidoptera,49,73.13,"Mir-12, Mir-242, Mir-3049, Mir-36",63,94.03,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Acipenserruthenus,Gnathostomata,83,84.69,"Mir-150, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-71, Mir-76",89,90.82,"Mir-1329, Mir-191, Mir-2001, Mir-281, Mir-4541, Mir-725"
Aclerisemargana,Lepidoptera,46,68.66,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-36, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988"
Aclerisemargana,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988"
Aclerissparsana,Lepidoptera,50,74.63,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970"
Aclerissparsana,Lepidoptera,49,73.13,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970"
