species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Abrostolatripartita,Lepidoptera,94.0,140.3,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957, Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",118,176.12,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Acanthasterplanci,Lepidoptera,29.0,43.28,"Mir-190, Mir-216, Mir-281, Mir-315",39,58.21,"Mir-2002, Mir-2004, Mir-2005, Mir-2006, Mir-2007, Mir-2009, Mir-2010, Mir-2011, Mir-2012, Mir-22"
Acanthopagruslatus,Lepidoptera,99.0,147.76,"Mir-1329, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-76, Mir-875",105,156.72,"Mir-147, Mir-2001, Mir-32, Mir-71, Mir-7132, Mir-729"
Accipitergentilis,Lepidoptera,106.0,158.21,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",113,168.66,"Mir-1416, Mir-1467, Mir-1720, Mir-1781, Mir-1805, Mir-2984, Mir-727"
Acentriaephemerella,Lepidoptera,98.0,146.27,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-36",123,183.58,"Mir-1000, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-970, Mir-988, Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Acipenserruthenus,Lepidoptera,83.0,123.88,"Mir-150, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-71, Mir-76",89,132.84,"Mir-1329, Mir-191, Mir-2001, Mir-281, Mir-4541, Mir-725"
Aclerisemargana,Lepidoptera,93.0,138.81,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",122,182.09,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-36, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988"
Aclerissparsana,Lepidoptera,99.0,147.76,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",119,177.61,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970"
Acomyscahirinus,Lepidoptera,162.0,241.79,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-187, Mir-1962, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-351, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-6529, Mir-7180, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885, Mir-9851",194,289.55,"Mir-1271, Mir-1277, Mir-1329, Mir-186, Mir-1911, Mir-1955, Mir-224, Mir-2355, Mir-3075, Mir-3099, Mir-3112, Mir-330, Mir-345, Mir-383, Mir-432, Mir-504, Mir-540, Mir-542, Mir-590, Mir-628, Mir-667, Mir-674, Mir-676, Mir-700, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-769, Mir-872, Mir-876, Mir-877"
Acomysdimidiatus,Lepidoptera,163.0,243.28,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-1962, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-351, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-6529, Mir-7180, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885, Mir-9851",196,292.54,"Mir-1271, Mir-1277, Mir-1329, Mir-186, Mir-1911, Mir-1955, Mir-197, Mir-224, Mir-2355, Mir-3075, Mir-3099, Mir-3112, Mir-330, Mir-345, Mir-383, Mir-432, Mir-504, Mir-540, Mir-542, Mir-590, Mir-628, Mir-667, Mir-674, Mir-676, Mir-700, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-769, Mir-872, Mir-876, Mir-877"
Acrobasissuavella,Lepidoptera,94.0,140.3,"Mir-10, Mir-12, Mir-242, Mir-3049, Mir-957, Mir-12, Mir-242, Mir-3049, Mir-957",125,186.57,"Iab-4, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-282, Mir-29, Mir-315, Mir-76, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-76, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Acromyrmexechinatior,Lepidoptera,44.0,65.67,"Mir-1993, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-970, Mir-989",57,85.07,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Acronictaaceris,Lepidoptera,90.0,134.33,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-12, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",123,183.58,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-276, Mir-2765, Mir-306, Mir-71, Mir-92, Mir-932, Mir-970, Mir-988, Mir-999"
Acroporamillepora,Lepidoptera,1.0,1.49,,3,4.48,"Mir-2022, Mir-2030"
Acyrthosiphonpisum,Lepidoptera,30.0,44.78,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-3, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",46,68.66,"Iab-4, Mir-1, Mir-14, Mir-193, Mir-210, Mir-219, Mir-275, Mir-277, Mir-2796, Mir-3049, Mir-316, Mir-317, Mir-76, Mir-929, Mir-965, Mir-971"
