Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Marmota flaviventris,GCA_003676075.2,Glires,179,81.36,"Mir-1307, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1912, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",195,88.64,"Mir-1329, Mir-1842, Mir-1911, Mir-197, Mir-2114, Mir-2483, Mir-337, Mir-452, Mir-4541, Mir-592, Mir-598, Mir-672, Mir-722, Mir-737, Mir-770, Mir-877"
Trachypithecus francoisi,GCA_009764315.1,Catarrhini,197,80.41,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",219,89.39,"Mir-1329, Mir-1343, Mir-1379, Mir-1416, Mir-1805, Mir-2387, Mir-2483, Mir-3140, Mir-3146, Mir-3173, Mir-345, Mir-4541, Mir-577, Mir-579, Mir-605, Mir-624, Mir-672, Mir-676, Mir-722, Mir-737, Mir-934, Mir-944"
Nebria salina,GCA_944039245.1,Endopterygota,47,73.44,"Mir-153, Mir-1993, Mir-3049, Mir-306, Mir-36",59,92.19,"Mir-14, Mir-193, Mir-2001, Mir-22, Mir-242, Mir-2765, Mir-2796, Mir-316, Mir-932, Mir-965, Mir-970, Mir-989"
Ectemnius lituratus,GCA_910593735.2,Endopterygota,41,64.06,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-12, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-282, Mir-3049, Mir-306, Mir-316, Mir-67, Mir-76, Mir-927, Mir-929, Mir-932, Mir-971"
Ophion luteus,GCA_944452655.1,Endopterygota,39,60.94,"Mir-133, Mir-22, Mir-242, Mir-278, Mir-36, Mir-970, Mir-989",57,89.06,"Bantam, Mir-1000, Mir-124, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971"
Dolichovespula sylvestris,GCA_918808275.1,Endopterygota,41,64.06,"Mir-153, Mir-193, Mir-22, Mir-242, Mir-317, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-971, Mir-989"
Eudyptes moseleyi,GCA_010082375.1,Neognathae,109,85.16,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",113,88.28,"Mir-1467, Mir-2131, Mir-2184, Mir-727"
Papilio machaon,GCA_912999765.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-932, Mir-970, Mir-989"
Zeuzera pyrina,GCA_907165235.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-929, Mir-970, Mir-988, Mir-999"
Gasterosteus aculeatus,GCA_006232265.1,Clupeocephala,95,83.33,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-71, Mir-76",104,91.23,"Mir-147, Mir-191, Mir-2001, Mir-451, Mir-4541, Mir-7132, Mir-729, Mir-737, Mir-875"
Vespa crabro,GCA_910589235.2,Endopterygota,42,65.62,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1, Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-971, Mir-989"
Sarcophaga subvicina,GCA_936440885.1,Diptera,42,62.69,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750, Mir-927, Mir-971",56,83.58,"Mir-1175, Mir-14, Mir-2001, Mir-275, Mir-29, Mir-3, Mir-306, Mir-76, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
