Scientific_name	New	Common_name	Clade	Taxon_ID	Assembly_name	Accession	Genome_size_bps	Annotation_provider	Annotation_method	Annotation	Genome	RNA_Seq
Acronicta aceris		Moths	Lepidoptera	987859	ilAcrAcer1.1	GCA_910591435.1	466369003	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Actinia equina		Beadlet anemone (AE1)	Metazoa	6106	equina_smartden.arrow4.noredun	GCA_011057435.1	409058306	Liverpool John Moores University	import	FASTA/GTF/GFF3/TSV	FASTA	
Actinia tenebrosa		Australian red waratah sea anemone	Metazoa	6105	ASM960242v1	GCA_009602425.1	238200427	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Adalia bipunctata		Two-spotted ladybird beetle	Coleoptera	7084	icAdaBipu1.1	GCA_910592335.1	475267023	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Agriopis marginaria		Dotted border (alternate haplotype)	Lepidoptera	190331	ilAgrMarg1.1_alternate_haplotype	GCA_932301435.1	502488742	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Agrochola macilenta		Moths (alternate haplotype)	Lepidoptera	987872	ilAgrMaci1.1_alternate_haplotype	GCA_916701705.1	644112804	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Agrotis puta		Moths (alternate haplotype)	Lepidoptera	1857961	ilAgrPuta1.1_alternate_haplotype	GCA_943137145.1	515943653	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Allophyes oxyacanthae		Moths	Lepidoptera	988056	ilAllOxya1.1	GCA_932294325.1	458464223	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Alouatta palliata		Mantled howler monkey	Primates	30589	AloPal_v1_BIUU	GCA_004027835.1	3033617595	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Amphiprion ocellaris		Clown anemonefish (Okinawa)	Fish	80972	ASM2253959v1	GCA_022539595.1	863484803	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Amphipyra berbera		Moths	Lepidoptera	987877	ilAmpBerb1.2	GCA_910594945.2	582289898	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
