"Scientific_name","New","Common_name","Clade","Taxon_ID","Assembly_name","Accession","Genome_size_bps","Annotation_provider","Annotation_method","Annotation","Genome","RNA_Seq"
"Abrostola tripartita","","Moths (alternate haplotype)","Lepidoptera","938171","ilAbrTrip1.1_alternate_haplotype","GCA_905340255.1","377898841","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Abrostola tripartita","","Moths","Lepidoptera","938171","ilAbrTrip1.1","GCA_905340225.1","381042155","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Acanthaster planci","","Crown-of-thorns starfish","Metazoa","133434","OKI_Apl_1.0","GCA_001949145.1","383860178","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Acanthopagrus latus","","Yellowfin seabream","Fish","8177","fAcaLat1.1","GCA_904848185.1","685144197","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Accipiter gentilis","","Northern goshawk","Birds","8957","Agentilis_1.0","GCA_012487025.1","1179252740","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Acentria ephemerella","","Moths","Lepidoptera","1666818","ilAceEphe1.1","GCA_943193645.1","340777416","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acentria ephemerella","","Moths (alternate haplotype)","Lepidoptera","1666818","ilAceEphe1.1_alternate_haplotype","GCA_943193655.1","336121962","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acipenser ruthenus","","Sterlet","Fish","7906","fAciRut3.1_paternal_haplotype","GCA_902713435.1","1663896406","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Acleris emargana","","Moths","Lepidoptera","758706","ilAclEmar1.1","GCA_927399475.1","691431929","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acleris emargana","","Moths (alternate haplotype)","Lepidoptera","758706","ilAclEmar1.1_alternate_haplotype","GCA_927399445.1","669046345","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acleris sparsana","","Moths (alternate haplotype)","Lepidoptera","758717","ilAclSpar1.1_alternate_haplotype","GCA_923061745.1","578581586","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acleris sparsana","","Moths","Lepidoptera","758717","ilAclSpar1.1","GCA_923062465.1","589529688","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acomys cahirinus","","Egyptian spiny mouse","Rodents","10068","AcoCah_v1_BIUU","GCA_004027535.1","2306070819","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Acomys dimidiatus","","Eastern spiny mouse","Rodents","60744","mAcoDim1_REL_1905","GCA_907164435.1","2302401611","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Acrobasis suavella","","Moths","Lepidoptera","1857951","ilAcrSuav1.1","GCA_943193695.1","647267125","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
