##gff-version 3
# MirMachine version: 0.2.12
# CM Models: Built using MirGeneDB 2.1(2022)
# Total families searched: 67
# Node: Diptera
# Model: combined
# Genome file: GCA_914767745.1.fa
# Species: Thecocarceliaacutangulata
# Params: /usr/local/bin/MirMachine.py --cpu 40 --node Diptera --species Thecocarceliaacutangulata --genome GCA_914767745.1.fa
# miRNAs families searched: ['BANTAM', 'IAB-4', 'LET-7', 'MIR-1', 'MIR-10', 'MIR-1000', 'MIR-1175', 'MIR-12', 'MIR-124', 'MIR-133', 'MIR-137', 'MIR-14', 'MIR-153', 'MIR-184', 'MIR-190', 'MIR-193', 'MIR-1993', 'MIR-2', 'MIR-2001', 'MIR-210', 'MIR-216', 'MIR-219', 'MIR-22', 'MIR-242', 'MIR-252', 'MIR-275', 'MIR-276', 'MIR-2765', 'MIR-277', 'MIR-278', 'MIR-279', 'MIR-2796', 'MIR-281', 'MIR-282', 'MIR-29', 'MIR-3', 'MIR-3049', 'MIR-305', 'MIR-306', 'MIR-31', 'MIR-315', 'MIR-316', 'MIR-317', 'MIR-33', 'MIR-34', 'MIR-36', 'MIR-375', 'MIR-67', 'MIR-7', 'MIR-71', 'MIR-750', 'MIR-76', 'MIR-8', 'MIR-87', 'MIR-9', 'MIR-92', 'MIR-927', 'MIR-929', 'MIR-932', 'MIR-957', 'MIR-96', 'MIR-965', 'MIR-970', 'MIR-971', 'MIR-988', 'MIR-989', 'MIR-999']
species,query_node,family,node,total_hits,filtered_hits
Thecocarceliaacutangulata,Diptera,Bantam,Protostomia,2,1
Thecocarceliaacutangulata,Diptera,Iab-4,Arthropoda,1,1
Thecocarceliaacutangulata,Diptera,Let-7,Bilateria,2,1
Thecocarceliaacutangulata,Diptera,Mir-1,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-10,Eumetazoa,4,4
Thecocarceliaacutangulata,Diptera,Mir-1000,Neoptera,1,1
Thecocarceliaacutangulata,Diptera,Mir-1175,Protostomia,1
Thecocarceliaacutangulata,Diptera,Mir-12,Protostomia,1,1
Thecocarceliaacutangulata,Diptera,Mir-124,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-133,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-137,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-14,Neoptera,1,1
Thecocarceliaacutangulata,Diptera,Mir-153,Bilateria,1
Thecocarceliaacutangulata,Diptera,Mir-184,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-190,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-193,Bilateria,2
Thecocarceliaacutangulata,Diptera,Mir-1993,Protostomia,2
Thecocarceliaacutangulata,Diptera,Mir-2,Protostomia,23,23
Thecocarceliaacutangulata,Diptera,Mir-2001,Bilateria,1
Thecocarceliaacutangulata,Diptera,Mir-210,Bilateria,2,2
Thecocarceliaacutangulata,Diptera,Mir-216,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-219,Bilateria,2,1
Thecocarceliaacutangulata,Diptera,Mir-22,Bilateria,9,2
Thecocarceliaacutangulata,Diptera,Mir-242,Bilateria
Thecocarceliaacutangulata,Diptera,Mir-252,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-275,Arthropoda,1
Thecocarceliaacutangulata,Diptera,Mir-276,Arthropoda,2,2
Thecocarceliaacutangulata,Diptera,Mir-2765,Pancrustacea
Thecocarceliaacutangulata,Diptera,Mir-277,Protostomia,1,1
Thecocarceliaacutangulata,Diptera,Mir-278,Bilateria,2,2
Thecocarceliaacutangulata,Diptera,Mir-279,Protostomia,3,3
Thecocarceliaacutangulata,Diptera,Mir-2796,Neoptera,2
Thecocarceliaacutangulata,Diptera,Mir-281,Bilateria,2,2
Thecocarceliaacutangulata,Diptera,Mir-282,Pancrustacea,2,1
Thecocarceliaacutangulata,Diptera,Mir-29,Bilateria,1
Thecocarceliaacutangulata,Diptera,Mir-3,Pancrustacea,1
Thecocarceliaacutangulata,Diptera,Mir-3049,Neoptera
Thecocarceliaacutangulata,Diptera,Mir-305,Ecdysozoa,1,1
Thecocarceliaacutangulata,Diptera,Mir-306,Neoptera,1
Thecocarceliaacutangulata,Diptera,Mir-31,Bilateria,2,2
Thecocarceliaacutangulata,Diptera,Mir-315,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-316,Pancrustacea,1,1
Thecocarceliaacutangulata,Diptera,Mir-317,Protostomia,1,1
Thecocarceliaacutangulata,Diptera,Mir-33,Bilateria,1
Thecocarceliaacutangulata,Diptera,Mir-34,Bilateria,1,1
Thecocarceliaacutangulata,Diptera,Mir-36,Protostomia
Thecocarceliaacutangulata,Diptera,Mir-375,Bilateria
